hour,date,month,quantity
0,1,12,0
1,1,12,0
2,1,12,0
3,1,12,0
4,1,12,0
5,1,12,0
6,1,12,0
7,1,12,79
8,1,12,231
9,1,12,3389
10,1,12,2757
11,1,12,2315
12,1,12,4217
13,1,12,1339
14,1,12,2330
15,1,12,2010
16,1,12,4408
17,1,12,1756
18,1,12,0
19,1,12,0
20,1,12,0
21,1,12,0
22,1,12,0
23,1,12,0
0,2,12,0
1,2,12,0
2,2,12,0
3,2,12,0
4,2,12,0
5,2,12,0
6,2,12,0
7,2,12,243
8,2,12,401
9,2,12,698
10,2,12,3772
11,2,12,1794
12,2,12,3710
13,2,12,1204
14,2,12,100
15,2,12,7374
16,2,12,3119
17,2,12,5385
18,2,12,0
19,2,12,0
20,2,12,0
21,2,12,0
22,2,12,0
23,2,12,0
0,3,12,0
1,3,12,0
2,3,12,0
3,3,12,0
4,3,12,0
5,3,12,0
6,3,12,0
7,3,12,38
8,3,12,133
9,3,12,795
10,3,12,670
11,3,12,2462
12,3,12,2287
13,3,12,1000
14,3,12,2647
15,3,12,47
16,3,12,57
17,3,12,1470
18,3,12,0
19,3,12,0
20,3,12,0
21,3,12,0
22,3,12,0
23,3,12,0
0,5,12,0
1,5,12,0
2,5,12,0
3,5,12,0
4,5,12,0
5,5,12,0
6,5,12,0
7,5,12,102
8,5,12,97
9,5,12,198
10,5,12,763
11,5,12,2055
12,5,12,3043
13,5,12,2894
14,5,12,677
15,5,12,3401
16,5,12,1150
17,5,12,80
18,5,12,0
19,5,12,0
20,5,12,0
21,5,12,0
22,5,12,0
23,5,12,0
0,6,12,0
1,6,12,0
2,6,12,0
3,6,12,0
4,6,12,0
5,6,12,0
6,6,12,0
7,6,12,48
8,6,12,913
9,6,12,3528
10,6,12,3251
11,6,12,2447
12,6,12,3532
13,6,12,2694
14,6,12,1128
15,6,12,1686
16,6,12,2213
17,6,12,386
18,6,12,0
19,6,12,0
20,6,12,0
21,6,12,0
22,6,12,0
23,6,12,0
0,7,12,0
1,7,12,0
2,7,12,0
3,7,12,0
4,7,12,0
5,7,12,0
6,7,12,0
7,7,12,57
8,7,12,146
9,7,12,2067
10,7,12,987
11,7,12,2552
12,7,12,1091
13,7,12,2873
14,7,12,1124
15,7,12,6020
16,7,12,6651
17,7,12,147
18,7,12,0
19,7,12,0
20,7,12,0
21,7,12,0
22,7,12,0
23,7,12,0
0,8,12,0
1,8,12,0
2,8,12,0
3,8,12,0
4,8,12,0
5,8,12,0
6,8,12,0
7,8,12,79
8,8,12,299
9,8,12,968
10,8,12,3185
11,8,12,863
12,8,12,4602
13,8,12,2080
14,8,12,3454
15,8,12,4175
16,8,12,968
17,8,12,146
18,8,12,0
19,8,12,0
20,8,12,0
21,8,12,0
22,8,12,0
23,8,12,0
0,9,12,0
1,9,12,0
2,9,12,0
3,9,12,0
4,9,12,0
5,9,12,0
6,9,12,0
7,9,12,49
8,9,12,156
9,9,12,822
10,9,12,2043
11,9,12,2271
12,9,12,1216
13,9,12,1888
14,9,12,2974
15,9,12,1258
16,9,12,1673
17,9,12,434
18,9,12,0
19,9,12,0
20,9,12,0
21,9,12,0
22,9,12,0
23,9,12,0
0,10,12,0
1,10,12,0
2,10,12,0
3,10,12,0
4,10,12,0
5,10,12,0
6,10,12,0
7,10,12,80
8,10,12,25
9,10,12,1967
10,10,12,2732
11,10,12,2773
12,10,12,1406
13,10,12,1425
14,10,12,2054
15,10,12,6450
16,10,12,120
17,10,12,122
18,10,12,0
19,10,12,0
20,10,12,0
21,10,12,0
22,10,12,0
23,10,12,0
0,12,12,0
1,12,12,0
2,12,12,0
3,12,12,0
4,12,12,0
5,12,12,0
6,12,12,0
7,12,12,92
8,12,12,120
9,12,12,18
10,12,12,903
11,12,12,1279
12,12,12,3052
13,12,12,1449
14,12,12,1249
15,12,12,65
16,12,12,781
17,12,12,201
18,12,12,0
19,12,12,0
20,12,12,0
21,12,12,0
22,12,12,0
23,12,12,0
0,13,12,0
1,13,12,0
2,13,12,0
3,13,12,0
4,13,12,0
5,13,12,0
6,13,12,0
7,13,12,111
8,13,12,89
9,13,12,3512
10,13,12,1626
11,13,12,2663
12,13,12,1490
13,13,12,2079
14,13,12,1788
15,13,12,4025
16,13,12,202
17,13,12,409
18,13,12,0
19,13,12,0
20,13,12,0
21,13,12,0
22,13,12,0
23,13,12,0
0,14,12,0
1,14,12,0
2,14,12,0
3,14,12,0
4,14,12,0
5,14,12,0
6,14,12,0
7,14,12,52
8,14,12,59
9,14,12,437
10,14,12,926
11,14,12,2092
12,14,12,4795
13,14,12,4976
14,14,12,2171
15,14,12,3520
16,14,12,723
17,14,12,138
18,14,12,0
19,14,12,0
